reviews,titles
지금 다시 보는데 마지막에 선동일씨와 하는 대사에 너무 눈물이 났다   지금 코로나  에 힘든 시기라 더 가슴에 와닿는듯   마지막 김수현씨 등장은 신의 한수   왜  후달려   ,수상한 그녀
심은경배우    아카데미 여우주연상 수상 축하합니다,수상한 그녀
최고의 한국영화중 하나  ,수상한 그녀
별이라도 이렇게 예쁠수 있을까     심은경 눈 너무 예쁨 ,수상한 그녀
재미 감동 이 함께 하는 영화,수상한 그녀
다시봐도 감동 심은경 연기 참 잘하네요 ,수상한 그녀
재미있어요,수상한 그녀
지금보고있는데 감동적이네요,수상한 그녀
다시 봐도 재미있는 영화예요  ,수상한 그녀
다 좋은데 여주 얼굴이 다소 아쉬웠던 영화  ,수상한 그녀
몇 번을 봐도 재밌고 새롭고 감동적이다  아저씨  악마는 프라다를 입는다와 더불어 보고 또 봐도 재밌는 명작 ,수상한 그녀
생애 최고의 감동 유쾌한 영화  ,수상한 그녀
유쾌한 영화 오두리 캐릭터 좋다  마지막까지 웃음을 준다   ,수상한 그녀
볼때마다  넘 잼있어요  번봤는데  오두리 최고 심은경 최고,수상한 그녀
 번째  보는구만 혹 젊어 질까바  ,수상한 그녀
최고다,수상한 그녀
하얀나비 나올때 참    눈물나오네요,수상한 그녀
하얀나비 노래나올때마다 눈물이난다 과거아픔이 느껴지는듯 웃으며 울며 볼수있는영화,수상한 그녀
캐릭터 하나 내세울 거밖에 없는 영화가 캐릭터가 어설프다니  ,수상한 그녀
재밌다,수상한 그녀
김수현을위한 영화   ,수상한 그녀
왓어     아 진짜 웃겻다               ,수상한 그녀
낡았지만 재밌당   ,수상한 그녀
서러운 인생  야속한 세월  어떻게 그 설움을 달랠 수 있을까 ,수상한 그녀
흥행성공작이지만 줄거리는 유치찬란    배우들의 하드캐리가 없었다면 그냥 그렇고 그랬을 영화    재미는 있더라  ,수상한 그녀
눈물나게 본      엄마    ,수상한 그녀
좀 지루하고 가수 되는건 좀 식상해요 엔딩은 반전 ,수상한 그녀
그녀가 다해버린 대체불가 원맨쇼 ,수상한 그녀
엄마는 늙으셔도 여자이다 세상의 아들들도 알아야 한다  이 진리를 ,수상한 그녀
내 어렸을 적    내 부모님 모습의 오버랩    그렇게 힘들게 사셨는데  지금도 편하게 못해드리고 있어서 눈물이 많이 났다     ,수상한 그녀
배우 심은경을 위한 영화  감동적인 장면을 만들기 위해 지루해진 부분도 있지만 이 정도면 코미디 영화로는 괜찮은 작품 ,수상한 그녀
테레비에서 해주길래 봤는디 넘잼      장미꽃 한송이 두고갑니다              ,수상한 그녀
훈훈한 내용의 디즈니식               하지만  후반부의 신파가 너무 과했다 ,수상한 그녀
너무 좋아하는 영화,수상한 그녀
